Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W84.64 gamCru187i-WHya180i         79.48156         4.0       163.3         4.8
W84.64 Whya189i-WHya180i          79.48156         4.0       145.1         5.5
W83.63 gamCru187i-WHya180i         79.48208         4.2        98.5         7.3
W82.21 gamCru187i-WHya180i         79.48285         4.5       337.1         3.8
W82.06 gamCru187i-WHya180i         79.48293         4.5       310.2         8.6
W82.06 gamCru187e-WHya180i         79.61168        80.1       216.3         7.4
W82.21 gamCru187e-WHya180i         79.61223        80.4       233.8         3.7
W83.63 gamCru187e-WHya180i         79.61741        82.6        48.1         3.1
W84.64 gamCru187e-WHya180i         79.62100        84.1       160.4         4.5
W84.64 Whya189e-WHya180i          79.62100        84.1       160.4         4.5
W84.82 gamCru187e-WHya180i         79.62164        84.3       193.7         3.0
W84.86 gamCru187e-WHya180i         79.62180        84.4       349.7        14.5
W86.4o gamCru187e-WHya180i         79.62730        86.6        44.7         5.7
W86.59 gamCru187e-WHya180i         79.62785        86.8       295.6         8.3
W87.19 gamCru187e-WHya180i         79.62988        87.6        36.5         3.8
Mi 6:2 gamCru187e-WHya180i         79.63898        91.0       150.4        15.7
Pd 4:2 gamCru187e-WHya180i         79.63905        91.0       176.8        14.9
W84.64 gamCru089i-betGru078i       79.80792       234.5       102.8         4.1
W84.82 gamCru089i-betGru078i       79.80821       235.4       193.8         1.9
W84.86 gamCru089i-betGru078i       79.80827       235.6       310.5         2.2
W85.67 gamCru089i-betGru078i       79.80901       238.9       314.7         0.7
W86.4o gamCru089i-betGru078i       79.80929       241.3        76.3         3.2
W86.59 gamCru089i-betGru078i       79.80932       241.8       268.0        15.8
W80.98 betPeg104i-gamCru096i       79.86312       157.4       129.3         8.5
W82.00 betPeg104i-gamCru096i       79.86371       157.7       203.4         4.1
W82.06 betPeg104i-gamCru096i       79.86374       157.8       223.7        13.1
W84.64 betPeg104i-gamCru096i       79.86527       158.6       105.7         4.6
W85.67 betPeg104i-gamCru096i       79.86589       158.9       175.2         8.0
W86.4i betPeg104i-gamCru096i       79.86633       159.2       352.1        19.5
W87.19 gamCru089i-gamCru078i       80.34721       356.0       232.9         6.1
W85.67 gamCru089i-gamCru078i       80.34737       355.9       224.6         5.3
W84.86 gamCru089i-gamCru078i       80.34746       355.9        67.1         3.2
W84.82 gamCru089i-gamCru078i       80.34747       355.9       297.6         7.6
W84.64 gamCru089i-gamCru078i       80.34749       355.9       143.3         2.7
W82.06 gamCru089i-gamCru078i       80.34778       355.8        98.7         5.0
W82.00 gamCru089i-gamCru078i       80.34778       355.8        59.3         9.6
W80.98 gamCru089i-gamCru078i       80.34790       355.7       205.7         1.8
W87.19 gamCru096i-RSCnc085e        80.45459        58.5       339.8         0.8
W86.59 gamCru096i-RSCnc085e        80.45766        59.4        15.6         0.6
W86.58 gamCru096i-RSCnc085e        80.45777        59.5       208.2         3.4
W85.67 gamCru096i-RSCnc085e        80.46266        61.1       328.1         8.0
W84.82 gamCru096i-RSCnc085e        80.46767        62.8       223.1         4.1
W84.64 gamCru096i-RSCnc085e        80.46877        63.2       183.9         6.2
W82.21 gamCru096i-RSCnc085e        80.48660        70.3         7.1         1.2
W82.06 gamCru096i-RSCnc085e        80.48807        70.9       315.2         3.4
W82.00 gamCru096i-RSCnc085e        80.48859        71.1       273.1         3.8
W82.00 gamCru096i-RSCnc085i        80.51910        88.0       153.8         3.7
W82.06 gamCru096i-RSCnc085i        80.51944        88.3       199.5         6.5
W82.21 gamCru096i-RSCnc085i        80.52041        89.0       254.9         7.9
W83.63 gamCru096i-RSCnc085i        80.52695        93.9       135.2        10.7
W84.64 gamCru096i-RSCnc085i        80.53010        96.4         6.0         2.3
W84.82 gamCru096i-RSCnc085i        80.53060        96.9       159.9         1.2
W86.58 gamCru096i-RSCnc085i        80.53462       100.5       216.6        14.1
W86.59 gamCru096i-RSCnc085i        80.53465       100.5       269.8         2.4
Mi 6:2 gamCru096i-RSCnc085i        80.53983       105.8       300.1         1.1
W87.19 alpAur041i-RHya036i         81.02417       171.1       311.4        13.7
W86.58 alpAur041i-RHya036i         81.02441       171.0       307.2        15.3
W85.67 alpAur041i-RHya036i         81.02479       170.8       142.8         5.8
W84.82 alpAur041i-RHya036i         81.02517       170.6       210.1         0.9
W84.64 alpAur041i-RHya036i         81.02526       170.6       137.8         5.7
W83.63 alpAur041i-RHya036i         81.02573       170.4        36.3         2.7
W82.21 alpAur041i-RHya036i         81.02647       170.1        21.7         4.4
W82.06 alpAur041i-RHya036i         81.02655       170.0       318.7         2.2
W82.00 alpAur041i-RHya036i         81.02658       170.0       272.7         6.5
W80.98 alpAur041i-RHya036i         81.02717       169.7        17.8         3.0
W80.98 muCep193i-RCas185i          81.66612       319.2       339.8         2.7
W82.06 muCep193i-RCas185i          81.66662       319.9       325.4         3.5
W82.21 muCep193i-RCas185i          81.66669       320.0        51.6         6.3
W84.82 muCep193i-RCas185i          81.66774       321.5       150.2         3.9
W85.67 muCep193i-RCas185i          81.66803       322.0       201.8         5.1
W87.19 gamCru093i-gamCru082i       82.04754        28.2       353.6         5.7
W86.59 gamCru093i-gamCru082i       82.04768        28.4        49.2         0.9
W86.4o gamCru093i-gamCru082i       82.04772        28.5       124.3         2.1
W86.4i gamCru093i-gamCru082i       82.04773        28.5        53.9         6.6
W85.67 gamCru093i-gamCru082i       82.04789        28.7        80.8         7.6
W84.86 gamCru093i-gamCru082i       82.04808        29.0       231.7         1.7
W84.64 gamCru093i-gamCru082i       82.04814        29.1       340.4        10.4
W82.21 gamCru093i-gamCru082i       82.04870        29.9        69.2         2.9
W82.06 gamCru093i-gamCru082i       82.04874        30.0       337.5         2.3
W82.00 gamCru093i-gamCru082i       82.04875        30.0       315.1        16.2
W81.02 gamCru093i-gamCru082i       82.04898        30.4       159.3         9.7
W80.98 gamCru093i-gamCru082i       82.04899        30.4       238.9         4.3
W86.4i RCas194e-WHya186e          82.21132       147.9       357.1        12.6
W87.19 muCep193i-muCep185e         82.22328       239.4       186.7        13.4
W86.59 muCep193i-muCep185e         82.22713       240.0       249.6         3.0
W86.58 muCep193i-muCep185e         82.22726       240.0       198.8         4.8
W86.4i muCep193i-muCep185e         82.22838       240.1       255.2        11.0
W84.86 muCep193i-muCep185e         82.23864       241.7        82.0        10.5
W84.82 muCep193i-muCep185e         82.23894       241.8       306.4        10.3
W84.64 muCep193i-muCep185e         82.24017       242.0        90.5        13.1
W82.21 muCep193i-muCep185e         82.25688       244.7        17.2         2.6
W82.06 muCep193i-muCep185e         82.25793       244.9       286.3         8.1
W82.00 muCep193i-muCep185e         82.25829       245.0       236.3        14.9
W80.98 WHya186e-WHya179i          83.95998       151.9       259.8         1.6
W81.02 WHya186e-WHya179i          83.96009       151.9       134.9         1.4
W82.06 WHya186e-WHya179i          83.96304       152.4        75.2         0.5
W80.98 WHya189e-WHya181i          86.06643       150.0       293.2         2.5
W81.02 WHya189e-WHya181i          86.06653       150.1       354.2         6.5
W82.00 WHya189e-WHya181i          86.06935       150.5       214.4         2.0
W86.4o WHya189e-WHya181i          86.08184       152.4        37.0         0.4
W87.19 gamCru089i-gamCru077i       87.38978       355.8       330.6         3.5
W86.59 gamCru089i-gamCru077i       87.38984       355.8       243.6         9.2
W85.67 gamCru089i-gamCru077i       87.38994       355.7       326.5         4.8
W84.64 gamCru089i-gamCru077i       87.39005       355.7       173.8         8.2
W82.06 gamCru089i-gamCru077i       87.39033       355.5       146.6         6.8
W82.00 gamCru089i-gamCru077i       87.39034       355.5        61.5         2.5
W80.98 gamCru089i-gamCru077i       87.39045       355.5       198.8        12.9
Pd 4:2 gamCru100i-gamCru089i       88.25333        42.6       144.6        16.7
Mi 6:2 gamCru100i-gamCru089i       88.25333        42.6        57.8         9.5
W87.19 gamCru100i-gamCru089i       88.25397        44.0       272.2         2.0
W86.59 gamCru100i-gamCru089i       88.25412        44.3       115.9         8.4
W86.4i gamCru100i-gamCru089i       88.25416        44.4       130.4        14.1
W85.67 gamCru100i-gamCru089i       88.25435        44.8       104.3         1.1
W84.86 gamCru100i-gamCru089i       88.25456        45.3       279.9         7.8
W84.82 gamCru100i-gamCru089i       88.25457        45.3       136.1         3.3
W84.64 gamCru100i-gamCru089i       88.25462        45.5       330.7         2.5
W82.21 gamCru100i-gamCru089i       88.25528        46.9       305.7         0.9
W82.06 gamCru100i-gamCru089i       88.25532        47.0       136.0         9.2
W82.00 gamCru100i-gamCru089i       88.25533        47.1        55.5         6.4
W80.98 gamCru100i-gamCru089i       88.25562        47.7       151.3         3.7
W86.59 RSCnc085i-gamCru073i        88.30983       262.2       306.8         0.7
W86.58 RSCnc085i-gamCru073i        88.30987       262.3       209.2        12.0
W84.82 RSCnc085i-gamCru073i        88.31391       266.0       266.4        13.5
W84.64 RSCnc085i-gamCru073i        88.31441       266.4       201.6        10.0
W83.63 RSCnc085i-gamCru073i        88.31758       269.1       144.2         4.7
W82.21 RSCnc085i-gamCru073i        88.32415       274.0       267.0         6.5
W82.06 RSCnc085i-gamCru073i        88.32511       274.7        88.1         5.3
W82.00 RSCnc085i-gamCru073i        88.32546       275.0        18.4         4.1
W82.00 RSCnc085e-gamCru073i        88.35597       291.9       259.4         4.1
W82.06 RSCnc085e-gamCru073i        88.35649       292.1       330.1         6.0
W82.21 RSCnc085e-gamCru073i        88.35795       292.7       161.4        11.1
W83.63 RSCnc085e-gamCru073i        88.36924       297.3        75.1        14.0
W84.64 RSCnc085e-gamCru073i        88.37574       299.7        25.7         3.7
W84.82 RSCnc085e-gamCru073i        88.37685       300.1       212.3        16.7
W84.86 RSCnc085e-gamCru073i        88.37712       300.2       340.6         3.0
W86.4o RSCnc085e-gamCru073i        88.38597       303.1       283.5         1.6
W86.59 RSCnc085e-gamCru073i        88.38682       303.3       202.8         0.9
W87.19 RSCnc085e-gamCru073i        88.38989       304.3       300.5         4.9
Pd 4:2 gamCru093i-gamCru081i       89.40548        26.9       331.4        10.5
W86.4o gamCru093i-gamCru081i       89.40630        28.0       223.5         0.4
W86.4i gamCru093i-gamCru081i       89.40631        28.0       142.3        11.9
W85.67 gamCru093i-gamCru081i       89.40648        28.3       186.1         3.1
W84.86 gamCru093i-gamCru081i       89.40667        28.5       223.6         3.2
W84.64 gamCru093i-gamCru081i       89.40672        28.6       333.4         2.5
W82.21 gamCru093i-gamCru081i       89.40730        29.5        30.3         3.8
W82.06 gamCru093i-gamCru081i       89.40734        29.5       207.3         7.9
W82.00 gamCru093i-gamCru081i       89.40735        29.6       138.8         9.7
W81.02 gamCru093i-gamCru081i       89.40758        29.9       137.3        10.1
W86.58 gamCru094i-gamCru082i       89.41213        12.9        66.8        15.0
W86.4o gamCru094i-gamCru082i       89.41214        12.9       187.9         1.5
W85.67 gamCru094i-gamCru082i       89.41219        13.0       123.3        13.5
W84.64 gamCru094i-gamCru082i       89.41226        13.2       258.3         7.5
W82.21 gamCru094i-gamCru082i       89.41241        13.6       302.7        10.7
W82.06 gamCru094i-gamCru082i       89.41242        13.6       126.2         3.2
W82.00 gamCru094i-gamCru082i       89.41242        13.6        31.5         5.8
W80.98 gamCru094i-gamCru082i       89.41249        13.8       216.2         3.3
W84.86 gamCru187i-WHya179i         92.78482         4.4       331.9         0.8
W84.82 gamCru187i-WHya179i         92.78485         4.4       186.5         8.5
W82.21 gamCru187i-WHya179i         92.78626         5.0        56.3         5.9
W82.06 gamCru187i-WHya179i         92.78635         5.1       173.8         8.9
W82.00 gamCru187i-WHya179i         92.78638         5.1        66.5         2.9
W80.98 gamCru187i-WHya179i         92.78698         5.3        89.2         7.8
W80.98 gamCru187e-WHya179i         92.91115        78.9       249.9         3.2
W82.00 gamCru187e-WHya179i         92.91492        80.6       330.7         1.9
W82.06 gamCru187e-WHya179i         92.91510        80.6        78.6         5.6
W82.21 gamCru187e-WHya179i         92.91565        80.9       310.3         4.0
W84.82 gamCru187e-WHya179i         92.92503        84.8        55.9         8.3
W84.86 gamCru187e-WHya179i         92.92518        84.9       209.7        15.3
W85.67 gamCru187e-WHya179i         92.92804        86.0       289.4         3.1
W86.4i gamCru187e-WHya179i         92.93056        87.0        51.1        16.5
W87.19 gamCru086i-gamCru073i       93.49023       355.0       285.0        12.2
W86.58 gamCru086i-gamCru073i       93.49029       355.0       187.5        14.7
W84.86 gamCru086i-gamCru073i       93.49046       354.9       325.5         8.4
W82.21 gamCru086i-gamCru073i       93.49073       354.8       333.5         2.2
W82.06 gamCru086i-gamCru073i       93.49074       354.8        89.8         5.1
W82.00 gamCru086i-gamCru073i       93.49075       354.8       344.3         5.6
Mi 6:2 gamCru093i-RSCnc080e        94.49013        71.0       316.6        11.6
W86.59 gamCru093i-RSCnc080e        94.50558        75.6       262.6         2.8
W86.4i gamCru093i-RSCnc080e        94.50651        75.9       127.0         2.9
W85.67 gamCru093i-RSCnc080e        94.51014        77.0        67.7        17.9
W84.86 gamCru093i-RSCnc080e        94.51432        78.4       239.9         4.7
W84.82 gamCru093i-RSCnc080e        94.51455        78.5        91.2         1.9
W84.64 gamCru093i-RSCnc080e        94.51551        78.8       173.4         6.3
W82.21 gamCru093i-RSCnc080e        94.52908        83.7       262.3         8.3
W82.06 gamCru093i-RSCnc080e        94.52999        84.0         2.0         4.0
W82.00 gamCru093i-RSCnc080e        94.53029        84.2       275.4        15.5
W81.02 gamCru093i-RSCnc080e        94.53653        86.6       310.7        10.2
W80.98 gamCru093i-RSCnc080e        94.53678        86.7        14.1        10.8
W80.98 gamCru093i-RSCnc080i        94.59179       118.0       139.1         4.5
W82.06 gamCru093i-RSCnc080i        94.59433       120.3       139.1         7.8
W82.21 gamCru093i-RSCnc080i        94.59463       120.6        37.0         4.2
W84.64 gamCru093i-RSCnc080i        94.59851       124.6       296.9         5.3
W84.82 gamCru093i-RSCnc080i        94.59874       124.9        10.1         3.3
W85.67 gamCru093i-RSCnc080i        94.59973       126.1       314.0         6.8
Mi 6:2 gamCru093i-RSCnc080i        94.60302       130.8       270.1         3.7
W82.06 RCas194e-RCas185i          94.82429       113.8       353.2         2.3
W85.67 RCas194e-RCas185i          94.84189       117.1        30.0         3.9
W80.98 betPeg104i-gamCru094i       95.28961       150.9       258.0         8.3
W82.00 betPeg104i-gamCru094i       95.29035       151.3       100.1         4.3
W82.06 betPeg104i-gamCru094i       95.29039       151.3       186.5         8.2
W82.21 betPeg104i-gamCru094i       95.29050       151.4        88.4        11.9
W84.64 betPeg104i-gamCru094i       95.29231       152.4       272.1         3.1
W85.67 betPeg104i-gamCru094i       95.29309       152.8       112.9         0.5
W86.4o betPeg104i-gamCru094i       95.29366       153.1        42.4         9.8
W87.19 RCas194e-muCep185e          95.40384        34.9        40.9        14.5
W85.67 RCas194e-muCep185e          95.40704        36.0        37.4         2.1
W84.64 RCas194e-muCep185e          95.40936        36.7       359.2         5.5
W82.06 RCas194e-muCep185e          95.41560        38.8       314.0         7.7
W86.59 gamCru094i-gamCru081i       96.77071        12.4       297.7        19.2
W86.58 gamCru094i-gamCru081i       96.77071        12.5       182.4         4.2
W86.4o gamCru094i-gamCru081i       96.77072        12.5       262.6        11.2
W85.67 gamCru094i-gamCru081i       96.77077        12.6       257.2         2.5
W84.64 gamCru094i-gamCru081i       96.77085        12.8       250.8         4.5
W82.21 gamCru094i-gamCru081i       96.77101        13.2       270.4        11.4
W82.06 gamCru094i-gamCru081i       96.77102        13.2       351.9         1.5
W82.00 gamCru094i-gamCru081i       96.77102        13.2       223.7         2.6
W87.19 gamCru101i-gamCru089i       97.82751        44.0        25.0         2.6
W86.59 gamCru101i-gamCru089i       97.82765        44.3       343.7        10.8
W86.58 gamCru101i-gamCru089i       97.82766        44.3       232.1         3.3
W86.4i gamCru101i-gamCru089i       97.82770        44.4       277.0        13.9
W85.67 gamCru101i-gamCru089i       97.82788        44.9       244.9         4.3
W84.82 gamCru101i-gamCru089i       97.82811        45.3       316.6         3.5
W84.64 gamCru101i-gamCru089i       97.82815        45.5       332.3         4.0
W82.21 gamCru101i-gamCru089i       97.82881        46.9       286.3         2.0
W82.06 gamCru101i-gamCru089i       97.82885        47.0       339.9         2.2
W82.00 gamCru101i-gamCru089i       97.82887        47.1       187.5         4.5
W80.98 gamCru101i-gamCru089i       97.82916        47.7       265.5         3.4
W86.4o WHya189e-WHya180i          99.38321       152.5       115.7         1.3
W87.19 WHya189e-WHya180i          99.38529       152.8        67.1         5.7
W85.67 alpLyr175i-betPeg170e       99.85266       188.0       196.5         3.9
Pd 4:2 gamCru100i-RSCnc087e       100.65393        91.7       192.8        18.9
W86.59 gamCru100i-RSCnc087e       100.67245        98.6       120.7        14.0
W86.4o gamCru100i-RSCnc087e       100.67344        99.0        85.3         3.1
W86.4i gamCru100i-RSCnc087e       100.67363        99.1        19.4         5.3
W85.67 gamCru100i-RSCnc087e       100.67834       101.0       215.7         2.9
W84.86 gamCru100i-RSCnc087e       100.68409       103.4       348.5         2.5
W84.82 gamCru100i-RSCnc087e       100.68443       103.6       183.0         6.0
W84.64 gamCru100i-RSCnc087e       100.68581       104.2       284.9         5.2
W84.64 gamCru100i-RSCnc087i       100.73380       130.0       151.1         7.0
W84.82 gamCru100i-RSCnc087i       100.73446       130.5       137.7         5.2
W84.86 gamCru100i-RSCnc087i       100.73461       130.6       298.9         7.1
W85.67 gamCru100i-RSCnc087i       100.73709       132.4       128.3        16.6
W86.4i gamCru100i-RSCnc087i       100.73889       133.8       243.6         2.4
W86.59 gamCru100i-RSCnc087i       100.73932       134.1       349.5         0.2
W87.19 gamCru100i-RSCnc087i       100.74053       135.0       301.4         6.7
Mi 6:2 gamCru100i-RSCnc087i       100.74469       138.6       137.3        12.0
W86.59 gamCru094i-RSCnc080e       101.87003        60.1       314.5        10.4
W86.58 gamCru094i-RSCnc080e       101.87012        60.1       248.1        12.2
W86.4o gamCru094i-RSCnc080e       101.87078        60.3       329.0         2.1
W85.67 gamCru094i-RSCnc080e       101.87443        61.4       114.0         3.4
W84.64 gamCru094i-RSCnc080e       101.87963        63.0        91.2         3.2
W82.21 gamCru094i-RSCnc080e       101.89279        67.4       147.5         8.7
W82.06 gamCru094i-RSCnc080e       101.89367        67.7       147.8         4.0
W82.00 gamCru094i-RSCnc080e       101.89397        67.8         1.7         2.8
W80.98 gamCru094i-RSCnc080e       101.90028        70.2       349.7         9.1
W80.98 gamCru094i-RSCnc080i       101.95529       101.4       115.5         3.2
W82.00 gamCru094i-RSCnc080i       101.95789       103.8       136.4        10.1
W82.06 gamCru094i-RSCnc080i       101.95801       103.9       282.5         5.5
W82.21 gamCru094i-RSCnc080i       101.95834       104.3       275.6        10.8
W84.64 gamCru094i-RSCnc080i       101.96263       108.8       215.6         7.0
W86.4o gamCru094i-RSCnc080i       101.96491       111.5       241.2        11.3
W86.59 gamCru094i-RSCnc080i       101.96508       111.7       290.0         5.7
Mi 6:2 muCep191i-WHya181i         102.48122       147.6       199.7         5.3
W86.58 muCep191i-WHya181i         102.48433       146.1       115.9        13.6
W84.86 muCep191i-WHya181i         102.48589       145.2       274.3         4.6
W84.82 muCep191i-WHya181i         102.48593       145.2       137.7         5.6
W84.64 muCep191i-WHya181i         102.48609       145.1       131.4         5.0
W82.00 muCep191i-WHya181i         102.48839       143.7         8.9         8.4
W86.59 RSCnc085i-gamCru071i       102.57694       261.3       292.1         3.6
W86.58 RSCnc085i-gamCru071i       102.57698       261.4       191.3         4.8
W86.4i RSCnc085i-gamCru071i       102.57731       261.7       176.0         6.5
W84.82 RSCnc085i-gamCru071i       102.58101       265.0       234.5         9.3
W84.64 RSCnc085i-gamCru071i       102.58150       265.5        26.4         3.3
W82.21 RSCnc085i-gamCru071i       102.59122       273.1       357.5         5.3
W82.06 RSCnc085i-gamCru071i       102.59218       273.8       349.1         0.6
W82.00 RSCnc085i-gamCru071i       102.59253       274.0       213.5         5.0
W82.00 RSCnc085e-gamCru071i       102.62304       290.9        94.0         8.0
W82.06 RSCnc085e-gamCru071i       102.62356       291.1       230.3         3.7
W82.21 RSCnc085e-gamCru071i       102.62502       291.8       236.1        12.2
W84.64 RSCnc085e-gamCru071i       102.64283       298.7       202.7         9.9
W84.82 RSCnc085e-gamCru071i       102.64394       299.1       175.5         8.8
W85.67 RSCnc085e-gamCru071i       102.64894       300.8       311.1        18.2
W86.4i RSCnc085e-gamCru071i       102.65292       302.1        97.5         6.6
W86.4o RSCnc085e-gamCru071i       102.65308       302.2       173.8         8.4
W80.98 betPeg104i-gamCru093i      102.65311       134.3       236.9         6.9
W86.59 RSCnc085e-gamCru071i       102.65393       302.4       189.6         2.0
W82.00 betPeg104i-gamCru093i      102.65403       135.0       183.7         8.0
W82.06 betPeg104i-gamCru093i      102.65407       135.0       326.7         6.4
W82.21 betPeg104i-gamCru093i      102.65421       135.1       329.7         2.8
W84.64 betPeg104i-gamCru093i      102.65643       136.5       191.0         5.2
W84.86 betPeg104i-gamCru093i      102.65664       136.6       180.5         1.1
W87.19 RSCnc085e-gamCru071i       102.65700       303.4       268.9         6.7
W85.67 betPeg104i-gamCru093i      102.65738       137.1       176.4        15.1
W86.4i betPeg104i-gamCru093i      102.65805       137.5       322.6         3.3
W86.59 betPeg104i-gamCru093i      102.65823       137.6       219.6         4.8
W87.19 RSCnc087i-gamCru073i       103.05295       263.7       239.6         0.8
W86.59 RSCnc087i-gamCru073i       103.05436       265.0       220.9         4.3
W86.58 RSCnc087i-gamCru073i       103.05441       265.0       129.3        13.4
W86.4o RSCnc087i-gamCru073i       103.05477       265.3       146.8         4.0
W84.86 RSCnc087i-gamCru073i       103.05967       269.4       318.8         2.7
W84.82 RSCnc087i-gamCru073i       103.05984       269.5       124.8        16.3
W84.64 RSCnc087i-gamCru073i       103.06055       270.1        34.1         8.1
W83.63 RSCnc087i-gamCru073i       103.06549       273.7       157.7         5.7
W83.63 RSCnc087e-gamCru073i       103.10027       292.6       208.8        11.3
W84.64 RSCnc087e-gamCru073i       103.10854       295.9       252.1         6.2
W84.82 RSCnc087e-gamCru073i       103.10986       296.4        76.6         8.4
W84.86 RSCnc087e-gamCru073i       103.11018       296.5       269.9         3.0
W86.4o RSCnc087e-gamCru073i       103.12029       300.2        92.4         3.3
W86.58 RSCnc087e-gamCru073i       103.12112       300.4        51.8        15.1
W86.59 RSCnc087e-gamCru073i       103.12123       300.5       109.5         8.0
W87.19 RSCnc087e-gamCru073i       103.12460       301.6        41.1         1.7
Pd 4:2 RSCnc087e-gamCru073i       103.13867       305.8       308.1        19.9
W84.64 RCas191i-WHya181i         103.37415       151.5        86.0        15.5
W82.21 RCas191i-WHya181i         103.37538       150.4       231.7         4.5
W80.98 RCas191i-WHya181i         103.37596       149.8       203.5         7.0
Mi 6:2 gamCru093i-gamCru079i      104.16089        26.2       334.2         3.1
W86.4o gamCru093i-gamCru079i      104.16170        27.2        21.5         3.1
W86.4i gamCru093i-gamCru079i      104.16171        27.2       269.3         7.0
W85.67 gamCru093i-gamCru079i      104.16188        27.5       310.5         5.1
W84.86 gamCru093i-gamCru079i      104.16207        27.7        71.1         8.0
W84.82 gamCru093i-gamCru079i      104.16208        27.7       260.3         4.7
W84.64 gamCru093i-gamCru079i      104.16213        27.8       135.0        13.1
W82.21 gamCru093i-gamCru079i      104.16270        28.6       117.5        10.1
W82.06 gamCru093i-gamCru079i      104.16274        28.7        85.6         6.9
W82.00 gamCru093i-gamCru079i      104.16275        28.7       316.2        15.6
W80.98 gamCru093i-gamCru079i      104.16299        29.1       251.3         2.8
W87.19 RCas106i-gamCru096i        104.43828       250.0       342.2         2.9
W86.59 RCas106i-gamCru096i        104.43953       251.0        77.1         8.4
W86.4o RCas106i-gamCru096i        104.43988       251.3        83.3         2.0
W84.82 RCas106i-gamCru096i        104.44390       254.3       248.6         4.8
W84.64 RCas106i-gamCru096i        104.44441       254.7       283.6         7.6
W82.21 RCas106i-gamCru096i        104.45336       260.8        58.5         6.0
W82.06 RCas106i-gamCru096i        104.45411       261.3       359.2         4.0
W82.00 RCas106i-gamCru096i        104.45437       261.4       198.3         4.3
W81.02 RCas106i-gamCru096i        104.46071       265.3       191.0        19.1
W80.98 gamCru096i-gamCru082i      104.83897         7.3       349.2        16.1
W81.02 gamCru096i-gamCru082i      104.83898         7.3       227.0         8.3
W82.00 gamCru096i-gamCru082i      104.83906         7.2       286.6         1.8
W82.06 gamCru096i-gamCru082i      104.83907         7.2        89.7         7.3
W82.21 gamCru096i-gamCru082i      104.83908         7.2       132.2         4.0
W84.64 gamCru096i-gamCru082i      104.83929         7.0        66.5        10.6
W84.82 gamCru096i-gamCru082i      104.83931         7.0       305.7         4.0
W85.67 gamCru096i-gamCru082i      104.83938         6.9        73.5         3.0
W86.4i gamCru096i-gamCru082i      104.83945         6.8        35.5        15.7
W87.19 gamCru096i-gamCru082i      104.83951         6.7       203.2        13.1
W85.67 WHya180i-lamVel173i        106.69518       356.1       201.4        19.6
W87.19 gamCru102i-gamCru089i      107.37814        43.7       232.6         4.7
W86.4i gamCru102i-gamCru089i      107.37833        44.1        91.0         4.5
W85.67 gamCru102i-gamCru089i      107.37851        44.5        82.7         7.7
W84.86 gamCru102i-gamCru089i      107.37871        45.0       359.5        16.7
W84.82 gamCru102i-gamCru089i      107.37872        45.0       183.7         3.1
W84.64 gamCru102i-gamCru089i      107.37877        45.1        71.3         5.3
W82.06 gamCru102i-gamCru089i      107.37944        46.7       315.9         2.8
W82.00 gamCru102i-gamCru089i      107.37946        46.7       150.1         3.9
W81.02 gamCru102i-gamCru089i      107.37973        47.3       349.4         2.2
W80.98 gamCru102i-gamCru089i      107.37974        47.4       228.0         4.3
W86.58 gamCru086i-gamCru071i      107.75740       354.1       173.6         3.1
W82.21 gamCru086i-gamCru071i      107.75780       353.8        66.7         6.4
W82.06 gamCru086i-gamCru071i      107.75781       353.8       349.6         1.4
W82.00 gamCru086i-gamCru071i      107.75782       353.8       174.3         5.3
W80.98 gamCru086i-gamCru071i      107.75791       353.7         4.0         2.4
W87.19 gamCru101i-RSCnc087e       110.24242        97.2       243.4         7.2
W86.59 gamCru101i-RSCnc087e       110.24598        98.6       347.4        14.7
W86.4i gamCru101i-RSCnc087e       110.24716        99.1       139.8         2.8
W85.67 gamCru101i-RSCnc087e       110.25187       101.0       346.0        14.6
W84.86 gamCru101i-RSCnc087e       110.25763       103.4       184.5        12.7
W84.82 gamCru101i-RSCnc087e       110.25796       103.6         1.2         1.5
W84.64 gamCru101i-RSCnc087e       110.25935       104.2       286.5         5.4
W86.58 gamCru100i-gamCru086i      110.30339        44.1       253.2         5.5
W84.86 gamCru100i-gamCru086i      110.30382        45.1       247.9         6.6
W82.21 gamCru100i-gamCru086i      110.30451        46.7       317.6         5.9
W82.06 gamCru100i-gamCru086i      110.30455        46.8       201.2         7.0
W82.00 gamCru100i-gamCru086i      110.30457        46.8        11.1         1.3
W80.98 gamCru100i-gamCru086i      110.30485        47.5       202.0         1.5
W84.64 gamCru101i-RSCnc087i       110.30734       130.0       152.0         8.6
W84.82 gamCru101i-RSCnc087i       110.30799       130.5       311.2         5.4
W85.67 gamCru101i-RSCnc087i       110.31063       132.4       275.3        11.6
W86.4i gamCru101i-RSCnc087i       110.31243       133.8         3.4         2.3
W87.19 gamCru101i-RSCnc087i       110.31407       135.1        45.9         2.0
Mi 6:2 gamCru101i-RSCnc087i       110.31823       138.6       272.8         9.0
W84.64 gamCru093i-betGru078i      110.32154       264.8        13.3         2.6
W84.82 gamCru093i-betGru078i      110.32178       265.7       335.3         9.9
W84.86 gamCru093i-betGru078i      110.32183       265.9       130.0         4.4
W85.67 gamCru093i-betGru078i      110.32237       268.8         9.2         6.4
W87.19 gamCru093i-gamCru078i      110.86021        25.4        45.9        18.0
W86.4o gamCru093i-gamCru078i      110.86047        25.6       298.0         3.3
