Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W84.64 gamCru102i-gamCru101i        9.55061       359.7       101.4         9.5
W84.82 gamCru102i-gamCru101i        9.55062       359.7       231.9        10.2
W85.67 gamCru102i-gamCru101i        9.55062       359.7       189.8         4.4
W86.4i gamCru102i-gamCru101i        9.55063       359.7       176.9        14.9
W87.19 gamCru102i-gamCru101i        9.55064       359.7       216.2        18.1
W86.59 RSCnc080i-gamCru079i         9.56103       260.0       229.0         9.1
W85.67 RSCnc080i-gamCru079i         9.56215       261.4       352.9        10.8
W84.82 RSCnc080i-gamCru079i         9.56334       262.9       248.9         4.7
W84.64 RSCnc080i-gamCru079i         9.56361       263.2       198.0        14.4
W86.59 RSCnc087i-gamCru086i         9.56407       270.0       327.7        11.2
W82.21 RSCnc080i-gamCru079i         9.56807       268.0        76.1         6.9
W82.06 RSCnc080i-gamCru079i         9.56841       268.4       302.4         7.9
W82.00 RSCnc080i-gamCru079i         9.56853       268.5       257.2        10.3
W80.98 RSCnc080i-gamCru079i         9.57120       271.1       110.4         3.6
W80.98 gamCru101i-gamCru100i        9.57354         0.0       114.7         4.5
W82.00 gamCru101i-gamCru100i        9.57354         0.0       130.6         2.0
W82.06 gamCru101i-gamCru100i        9.57354         0.0       205.4        10.1
W82.21 gamCru101i-gamCru100i        9.57354         0.0       338.4         1.5
W84.64 gamCru101i-gamCru100i        9.57354         0.0         2.4         1.1
W84.82 gamCru101i-gamCru100i        9.57354         0.0       176.7         7.9
W84.86 gamCru101i-gamCru100i        9.57354         0.0       188.9        17.6
W85.67 gamCru101i-gamCru100i        9.57354         0.0       142.5         5.0
W86.4i gamCru101i-gamCru100i        9.57354         0.0       118.7         3.6
W86.58 gamCru101i-gamCru100i        9.57354         0.0       200.8        11.0
W86.59 gamCru101i-gamCru100i        9.57354         0.0       228.0         2.2
W87.19 gamCru101i-gamCru100i        9.57354         0.0       106.5         8.8
W80.98 RSCnc080e-gamCru079i         9.62620       302.3       233.6        11.3
W86.4o RSCnc087e-gamCru086i         9.62999       305.2       193.4         5.7
W86.59 RSCnc087e-gamCru086i         9.63094       305.5       276.2        12.5
W82.00 RSCnc080e-gamCru079i         9.63245       304.5        31.8         3.1
W82.06 RSCnc080e-gamCru079i         9.63275       304.6        83.1         9.6
W82.21 RSCnc080e-gamCru079i         9.63362       304.9       206.8         6.5
W84.64 RSCnc080e-gamCru079i         9.64662       309.0       322.3         9.5
W84.86 RSCnc080e-gamCru079i         9.64775       309.3       187.8         4.8
W86.4i RSCnc080e-gamCru079i         9.65520       311.4       139.7         6.3
W86.58 RSCnc080e-gamCru079i         9.65599       311.6       185.3         9.3
W86.59 RSCnc080e-gamCru079i         9.65609       311.6       219.0         5.3
Mi 6:2 RSCnc080e-gamCru079i         9.67077       315.2        19.0         8.6
W87.19 gamCru089i-RSCnc087e        12.41491        53.2       221.8         5.6
W86.59 gamCru089i-RSCnc087e        12.41833        54.3         0.3         2.6
W86.4i gamCru089i-RSCnc087e        12.41946        54.6       200.0         7.6
W85.67 gamCru089i-RSCnc087e        12.42399        56.1       107.6         5.9
W84.82 gamCru089i-RSCnc087e        12.42986        58.2        45.0         2.6
W84.64 gamCru089i-RSCnc087e        12.43119        58.7       314.2         3.0
W86.4i gamCru082i-RSCnc080e        12.45879        47.4        77.3         5.5
W85.67 gamCru082i-RSCnc080e        12.46224        48.3       348.7         8.7
W84.86 gamCru082i-RSCnc080e        12.46623        49.4         2.0         3.3
W84.64 gamCru082i-RSCnc080e        12.46737        49.8       194.8         5.7
W84.64 gamCru089i-RSCnc087i        12.47919        84.6       179.6         4.7
W84.82 gamCru089i-RSCnc087i        12.47989        85.2       358.7         6.6
W82.21 gamCru082i-RSCnc080e        12.48038        53.8       194.4         8.6
W82.06 gamCru082i-RSCnc080e        12.48125        54.1        21.2         3.1
W82.00 gamCru082i-RSCnc080e        12.48154        54.2       332.1         2.3
W85.67 gamCru089i-RSCnc087i        12.48274        87.6        31.5        13.7
W87.19 gamCru089i-RSCnc087i        12.48656        91.0        21.9         2.6
W80.98 gamCru082i-RSCnc080e        12.48780        56.3       136.6         7.4
W80.98 gamCru082i-RSCnc080i        12.54280        87.6       260.7         1.1
W82.00 gamCru082i-RSCnc080i        12.54547        90.2       107.3         5.9
W82.06 gamCru082i-RSCnc080i        12.54559        90.3       157.1         2.4
W82.21 gamCru082i-RSCnc080i        12.54593        90.7       328.0         5.2
W84.64 gamCru082i-RSCnc080i        12.55038        95.6       314.8        10.6
W84.82 gamCru082i-RSCnc080i        12.55065        95.9       244.7         3.0
W80.98 WHya186e-RCas185i          12.61174       327.2         1.9         5.4
W82.06 WHya186e-RCas185i          12.61622       327.7        97.7         6.9
W82.06 RCas194e-muCep193i          13.15767       153.9        28.2         1.7
W84.64 RCas194e-muCep193i          13.16920       154.8       258.8         5.3
W86.4i RCas194e-muCep193i          13.17709       155.3       108.8        12.1
W86.4o WHya186e-muCep185e          13.19407       247.5        22.9         5.2
Mi 6:2 WHya181i-WHya180i          13.30137         0.1       171.6         5.3
W86.58 WHya181i-WHya180i          13.30137         0.1       144.2        14.9
W86.59 WHya181i-WHya180i          13.30137         0.1       215.6         9.7
W86.4o WHya181i-WHya180i          13.30137         0.1        78.8         1.1
