Title: Saturn's G and D rings provide nearly complete measured scattering/phase 
       functions of nearby debris disks  
Authors: Hedman M.M., Stark C.C. 
Table: Normal Equivalent Width estimates for D68 derived from entire images, 
       almost all of which were obtained at scattering angles above 15 deg
================================================================================
Byte-by-byte Description of file: apj519262t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label    Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---   Image    Image Name
  13- 28 F16.6  s     ET       Ephemeris Time; seconds past J2000 epoch
  30- 35 F6.2   deg   {theta}  Scattering angle at the ring
  37- 42 F6.2   deg   B        Opening angle of the ring to the spacecraft
  44- 48 F5.2   m     NEW-INT  Normal equivalent width; Integrated Method
  50- 53 F4.2   m     NEW-FIT  Normal equivalent width; Fit Method
--------------------------------------------------------------------------------
N1765076855 439654296.981849  33.99 -37.13  1.44 1.32 
N1765076335 439653776.985152  34.06 -37.17  1.52 1.46 
N1765075815 439653256.988454  34.13 -37.22  1.65 1.38 
N1719552943 394130672.672861  34.18 -17.52  1.53 1.36 
N1765075295 439652736.991756  34.20 -37.26  1.64 1.27 
N1765074775 439652216.995059  34.27 -37.31  1.21 1.28 
N1765074255 439651696.998361  34.34 -37.35  1.37 1.28 
N1765073735 439651177.001663  34.41 -37.39  1.25 1.22 
N1719552398 394130127.676320  34.45 -17.58  1.53 1.38 
N1765073215 439650657.004966  34.48 -37.43  1.05 1.07 
N1765072695 439650137.008268  34.55 -37.48  1.03 1.12 
N1765072175 439649617.011571  34.62 -37.52  1.31 1.13 
N1729023557 403601227.423289  34.64 -34.61  1.75 1.65 
N1765071655 439649097.014873  34.69 -37.57  1.21 1.16 
N1719551853 394129582.679779  34.71 -17.64  1.40 1.27 
N1719551853 394129582.679779  34.71 -17.64  1.40 1.27 
N1765071135 439648577.033800  34.77 -37.61  1.26 1.16 
N1729022738 403600408.428491  34.78 -34.66  1.64 1.61 
N1729021919 403599589.433692  34.92 -34.70  1.70 1.64 
N1719551308 394129037.698863  34.99 -17.70  1.36 1.26 
N1729021100 403598770.438894  35.06 -34.74  1.74 1.66 
N1719550962 394128692.585434  35.16 -17.76  1.15 1.15 
N1729020281 403597951.444095  35.20 -34.79  1.66 1.59 
N1729019462 403597132.449297  35.34 -34.83  1.59 1.52 
N1729018643 403596313.454498  35.48 -34.88  1.58 1.53 
N1729017824 403595494.459700  35.62 -34.92  1.38 1.47 
N1729017005 403594675.464901  35.76 -34.96  1.41 1.30 
N1729016186 403593856.470103  35.90 -35.00  1.42 1.39 
N1729015367 403593037.475304  36.03 -35.05  1.38 1.31 
N1729014548 403592218.480506  36.17 -35.09  1.53 1.43 
N1729013729 403591399.485707  36.31 -35.13  1.69 1.60 
N1729012910 403590580.490909  36.44 -35.17  1.94 1.75 
N1729012091 403589761.496110  36.58 -35.21  1.82 1.84 
N1729011272 403588942.501312  36.71 -35.25  1.56 1.75 
N1729010453 403588123.506513  36.84 -35.29  1.75 1.71 
N1729009634 403587304.511715  36.98 -35.33  1.61 1.54 
N1729008815 403586485.516916  37.11 -35.37  1.47 1.51 
N1729007996 403585666.522118  37.24 -35.41  1.51 1.45 
N1729007177 403584847.527319  37.37 -35.45  1.61 1.48 
N1729006358 403584028.532521  37.50 -35.48  1.32 1.35 
N1729005539 403583209.537722  37.63 -35.52  1.59 1.46 
N1729004720 403582390.542924  37.76 -35.56  1.53 1.42 
N1729003901 403581571.548125  37.89 -35.59  1.53 1.48 
N1729003082 403580752.553327  38.02 -35.63  1.51 1.44 
N1729002263 403579933.558528  38.15 -35.67  1.43 1.40 
N1729001444 403579114.563730  38.28 -35.70  1.43 1.34 
N1729000625 403578295.568931  38.40 -35.74  1.46 1.36 
N1728999806 403577476.589758  38.53 -35.78  1.31 1.29 
N1543599215 218178134.588694  38.87  -1.56  0.52 0.96 
N1541529767 216108699.716325  39.33  -1.05  0.31 1.18 
N1541529796 216108728.133952  39.33  -1.05  0.38 1.36 
N1729211907 403789576.242696  39.36  11.28  1.42 1.36 
N1543603655 218182574.560465  39.57  -2.18  0.43 0.71 
N1761035549 435613016.147397  39.85 -41.99  1.49 1.21 
N1761034705 435612172.152757  39.92 -42.03  1.05 1.51 
N1761033861 435611328.158117  39.99 -42.06  0.77 1.25 
N1761033017 435610484.163477  40.06 -42.10  0.79 1.10 
N1761032173 435609640.168837  40.13 -42.13  0.70 0.96 
N1761031329 435608796.174197  40.20 -42.17  1.06 1.01 
N1761030485 435607952.179558  40.27 -42.20  0.46 0.97 
N1761029641 435607108.184918  40.34 -42.24  1.13 1.32 
N1761028797 435606264.190278  40.41 -42.28  1.24 1.27 
N1761027953 435605420.195638  40.48 -42.31  0.99 1.48 
N1761027109 435604576.200998  40.55 -42.35  1.39 1.59 
N1761026265 435603732.206358  40.62 -42.38  1.23 1.31 
N1761025421 435602888.211719  40.70 -42.42  1.21 1.24 
N1761024577 435602044.217079  40.77 -42.45  0.94 1.14 
N1761023733 435601200.222439  40.84 -42.49  1.09 1.39 
N1761022889 435600356.227799  40.91 -42.53  0.90 1.28 
N1761022045 435599512.233159  40.98 -42.56  0.87 1.27 
N1761057029 435634496.010979  41.05 -40.64  1.15 1.07 
N1761021201 435598668.238520  41.05 -42.60  0.95 1.36 
N1761056185 435633652.016339  41.12 -40.67  1.39 1.24 
N1761020357 435597824.243880  41.12 -42.63  0.98 1.08 
N1761055341 435632808.021699  41.19 -40.71  1.50 1.34 
N1761019513 435596980.249240  41.19 -42.67  0.86 1.19 
N1761054497 435631964.027059  41.26 -40.75  1.07 1.22 
N1761018669 435596136.254600  41.27 -42.71  1.07 1.18 
N1761053653 435631120.032420  41.33 -40.78  1.29 1.23 
N1761017825 435595292.259960  41.34 -42.74  0.77 1.13 
N1761052809 435630276.037780  41.40 -40.82  0.32 1.16 
N1761016981 435594448.265320  41.41 -42.78  1.02 1.20 
N1761051965 435629432.043140  41.47 -40.85  1.39 0.99 
N1761016137 435593604.270681  41.48 -42.81  1.20 1.14 
N1761051121 435628588.048500  41.54 -40.89  0.91 1.13 
N1761015293 435592760.276041  41.56 -42.85  0.66 1.14 
N1761050277 435627744.053860  41.61 -40.92  1.25 1.04 
N1761014449 435591916.297026  41.63 -42.89  0.94 1.00 
N1761049433 435626900.059220  41.68 -40.96  1.07 1.07 
N1761048589 435626056.064581  41.75 -40.99  0.89 1.03 
N1761047745 435625212.069941  41.83 -41.03  1.06 1.02 
N1761046901 435624368.075301  41.90 -41.06  1.06 0.93 
